"category","subcategory","title","file_name","extension","suffix","applications","visibility","keywords","first_comment","relative_path","source_path","size_bytes","line_count"
"Construct","Miscellaneous","Bend Selected Objects at UV Plane","Bend Selected Objects at UV Plane^-DS.mcr","mcr","-DS","DS","hidden/internal","Boolean;Component;Material;Pick;Resulttree;Solid;Transform;WCS","#Language ""WWB-COM""","Construct\Miscellaneous\Bend Selected Objects at UV Plane^-DS.mcr","D:\CST\Library\Macros\Construct\Miscellaneous\Bend Selected Objects at UV Plane^-DS.mcr","43066","1041"
"Construct","Miscellaneous","Change Model Units and Rescale","Change Model Units and Rescale^-DS.mcs","mcs","-DS","DS","hidden/internal","Component;Curve;Port;Resulttree;Transform;Wire","#include ""vba_globals_all.lib""","Construct\Miscellaneous\Change Model Units and Rescale^-DS.mcs","D:\CST\Library\Macros\Construct\Miscellaneous\Change Model Units and Rescale^-DS.mcs","12307","251"
"Construct","Miscellaneous","CircuitNegativeFilter","CircuitNegativeFilter.cfg","cfg","","","","","","Construct\Miscellaneous\CircuitNegativeFilter.cfg","D:\CST\Library\Macros\Construct\Miscellaneous\CircuitNegativeFilter.cfg","13","4"
"Construct","Miscellaneous","Create Face Distortions","Create Face Distortions^-DS.mcs","mcs","-DS","DS","hidden/internal","Component;ResultTree;Solid","CreateFaceDistortions","Construct\Miscellaneous\Create Face Distortions^-DS.mcs","D:\CST\Library\Macros\Construct\Miscellaneous\Create Face Distortions^-DS.mcs","4209","140"
"Construct","Miscellaneous","Custom Switch","Custom Switch^+DS.mcr","mcr","+DS","DS","menu-visible","Boolean;Import;Port","#Language ""WWB-COM""","Construct\Miscellaneous\Custom Switch^+DS.mcr","D:\CST\Library\Macros\Construct\Miscellaneous\Custom Switch^+DS.mcr","14038","349"
"Construct","Miscellaneous","Cut Selected Objects into Checkerboard Pieces","Cut Selected Objects into Checkerboard Pieces.cst","cst","","","","","","Construct\Miscellaneous\Cut Selected Objects into Checkerboard Pieces.cst","D:\CST\Library\Macros\Construct\Miscellaneous\Cut Selected Objects into Checkerboard Pieces.cst","19135","51"
"Construct","Miscellaneous","Cut Selected Objects into Checkerboard Pieces","Cut Selected Objects into Checkerboard Pieces.pdf","pdf","","","","Component","","Construct\Miscellaneous\Cut Selected Objects into Checkerboard Pieces.pdf","D:\CST\Library\Macros\Construct\Miscellaneous\Cut Selected Objects into Checkerboard Pieces.pdf","143512","500"
"Construct","Miscellaneous","Cut Selected Objects into Checkerboard Pieces","Cut Selected Objects into Checkerboard Pieces.ppt","ppt","","","","WCS","","Construct\Miscellaneous\Cut Selected Objects into Checkerboard Pieces.ppt","D:\CST\Library\Macros\Construct\Miscellaneous\Cut Selected Objects into Checkerboard Pieces.ppt","489984","1351"
"Construct","Miscellaneous","Cut Selected Objects into Checkerboard Pieces","Cut Selected Objects into Checkerboard Pieces^-DS.mcr","mcr","-DS","DS","hidden/internal","Boolean;Component;ResultTree;Solid;WCS","#Language ""WWB-COM""","Construct\Miscellaneous\Cut Selected Objects into Checkerboard Pieces^-DS.mcr","D:\CST\Library\Macros\Construct\Miscellaneous\Cut Selected Objects into Checkerboard Pieces^-DS.mcr","10533","318"
"Construct","Miscellaneous","Export Coordinates from Curve Element","Export Coordinates from Curve Element^-DS.mcr","mcr","-DS","DS","hidden/internal","Boolean;Curve;Export;Port;Result1D;Result1DComplex;Solid","#Language ""WWB-COM""","Construct\Miscellaneous\Export Coordinates from Curve Element^-DS.mcr","D:\CST\Library\Macros\Construct\Miscellaneous\Export Coordinates from Curve Element^-DS.mcr","16148","326"
"Construct","Miscellaneous","Netlist Segmentation","Netlist Segmentation^+DS.mcr","mcr","+DS","DS","menu-visible","Boolean;Import;Port","#Language ""WWB-COM""","Construct\Miscellaneous\Netlist Segmentation^+DS.mcr","D:\CST\Library\Macros\Construct\Miscellaneous\Netlist Segmentation^+DS.mcr","18789","481"
"Construct","Miscellaneous","OptionsPositiveFilter","OptionsPositiveFilter.cfg","cfg","","","","","","Construct\Miscellaneous\OptionsPositiveFilter.cfg","D:\CST\Library\Macros\Construct\Miscellaneous\OptionsPositiveFilter.cfg","122","51"
"Construct","Miscellaneous","Remove Small Parts","Remove Small Parts^-DS.mcr","mcr","-DS","DS","hidden/internal","Boolean;Solid","#Language ""WWB-COM""","Construct\Miscellaneous\Remove Small Parts^-DS.mcr","D:\CST\Library\Macros\Construct\Miscellaneous\Remove Small Parts^-DS.mcr","4175","104"
"Construct","Miscellaneous","Search Navigation Tree","Search Navigation Tree^-DS.mcr","mcr","-DS","DS","hidden/internal","Arc;Boolean;Component;Resulttree","#Language ""WWB-COM""","Construct\Miscellaneous\Search Navigation Tree^-DS.mcr","D:\CST\Library\Macros\Construct\Miscellaneous\Search Navigation Tree^-DS.mcr","7156","183"
"Construct","Miscellaneous","Spice Import","Spice Import^+DS.mcr","mcr","+DS","DS","menu-visible","Boolean;Import;Port","#Language ""WWB-COM""","Construct\Miscellaneous\Spice Import^+DS.mcr","D:\CST\Library\Macros\Construct\Miscellaneous\Spice Import^+DS.mcr","5439","159"
"Construct","Miscellaneous","Transform selected objects to local WCS or to global coordinates","Transform selected objects to local WCS or to global coordinates^-DS.mcr","mcr","-DS","DS","hidden/internal","Boolean;Component;Pick;Port;Transform;WCS","trasform_towcs_or_togcs","Construct\Miscellaneous\Transform selected objects to local WCS or to global coordinates^-DS.mcr","D:\CST\Library\Macros\Construct\Miscellaneous\Transform selected objects to local WCS or to global coordinates^-DS.mcr","2969","84"
"Construct","","Multi TouchStone Files Selection","Multi TouchStone Files Selection^+DS.mcr","mcr","+DS","DS","menu-visible","Boolean;Import;Port;Touchstone","This macro Enable multiple selection in the input window of the files selection section for TOUCHSTONE Block, used within CST DS.","Construct\Multi TouchStone Files Selection^+DS.mcr","D:\CST\Library\Macros\Construct\Multi TouchStone Files Selection^+DS.mcr","7700","272"
"Construct","","Option1","Option1.bmp","bmp","","","","","","Construct\Option1.bmp","D:\CST\Library\Macros\Construct\Option1.bmp","176522","1"
"Construct","","Option2","Option2.bmp","bmp","","","","","","Construct\Option2.bmp","D:\CST\Library\Macros\Construct\Option2.bmp","163294","1"
"Construct","","Option3","Option3.bmp","bmp","","","","","","Construct\Option3.bmp","D:\CST\Library\Macros\Construct\Option3.bmp","146670","1"
"Construct","Parts","NASA  Almond","NASA  Almond^-DS.mcs","mcs","-DS","DS","hidden/internal","Boolean;Boundary;Component;Material;Mesh;Solid;Wire","Nasa Almond","Construct\Parts\NASA  Almond^-DS.mcs","D:\CST\Library\Macros\Construct\Parts\NASA  Almond^-DS.mcs","5812","195"
"Construct","Parts","Radial Stub","Radial Stub^-DS.mcs","mcs","-DS","DS","hidden/internal","Arc;Boolean;Brick;Component;Curve;Material;Pick;Resulttree;Solid;Transform;WCS","Construct / Solids / Radial Stub","Construct\Parts\Radial Stub^-DS.mcs","D:\CST\Library\Macros\Construct\Parts\Radial Stub^-DS.mcs","15553","495"
"Construct","Parts","Reflector dish","Reflector dish^+MWS.mcs","mcs","+MWS","MWS","menu-visible","Arc;Boolean;Component;Curve;Material;Pick;Port;Solid;Transform;Wire","Construct / Online / Reflector dish","Construct\Parts\Reflector dish^+MWS.mcs","D:\CST\Library\Macros\Construct\Parts\Reflector dish^+MWS.mcs","8259","248"
"Construct","Parts","Reflector_ Dish-HELP","Reflector_ Dish-HELP.pptx","pptx","","","","","","Construct\Parts\Reflector_ Dish-HELP.pptx","D:\CST\Library\Macros\Construct\Parts\Reflector_ Dish-HELP.pptx","89720","282"
"Construct","Parts","Reflector_Dish","Reflector_Dish.bmp","bmp","","","","","","Construct\Parts\Reflector_Dish.bmp","D:\CST\Library\Macros\Construct\Parts\Reflector_Dish.bmp","663174","23"
"Construct","Parts","Spherical Grid","Spherical Grid^-DS.mcs","mcs","-DS","DS","hidden/internal","Arc;Boolean;Component;Curve;Cylinder;Material;Pick;Port;Solid;Sphere;StoreParameter;WCS","CreateControlGrid","Construct\Parts\Spherical Grid^-DS.mcs","D:\CST\Library\Macros\Construct\Parts\Spherical Grid^-DS.mcs","10675","420"
"Construct","Parts","Superconducting Cavity","Superconducting Cavity^-DS.mcs","mcs","-DS","DS","hidden/internal","Arc;Boolean;Component;Curve;Material;Pick;Port;Solid","Construct / Superconducting Cavity","Construct\Parts\Superconducting Cavity^-DS.mcs","D:\CST\Library\Macros\Construct\Parts\Superconducting Cavity^-DS.mcs","9589","350"
